Index,Variant,Area,Notes,Area_code,Period,g15_19,g20_24,g25_29,g30_34,g35_39,g40_44,g45_49
1,Estimates,WORLD,,900,1950-1955,54238,131939,128063,89247,56006,24327,5072
2,Estimates,WORLD,,900,1955-1960,54878,139604,135910,97430,57740,24168,5149
3,Estimates,WORLD,,900,1960-1965,58995,150269,148052,107536,65428,25457,5175
4,Estimates,WORLD,,900,1965-1970,66080,161786,152406,110045,65808,26878,5402
5,Estimates,WORLD,,900,1970-1975,70268,181619,158260,103085,60932,24837,5449
6,Estimates,WORLD,,900,1975-1980,73783,192191,165870,95224,50230,20839,5077
7,Estimates,WORLD,,900,1980-1985,80010,214564,185294,97347,46308,18304,4626
8,Estimates,WORLD,,900,1985-1990,84980,239516,193365,107208,49814,17689,4474
9,Estimates,WORLD,,900,1990-1995,82012,221779,191808,106013,49524,17463,3943
10,Estimates,WORLD,,900,1995-2000,81163,205649,181874,106706,50299,17322,4095
11,Estimates,WORLD,,900,2000-2005,79317,207974,180161,111075,52436,17126,4051
12,Estimates,WORLD,,900,2005-2010,73195,219277,190319,114931,54976,17605,4279
13,Estimates,More developed regions,,901,1950-1955,6081,27598,30256,17426,9166,3207,303
14,Estimates,More developed regions,,901,1955-1960,6849,28706,29547,19180,8634,2408,237
15,Estimates,More developed regions,,901,1960-1965,7361,28458,28639,17319,8409,2174,156
16,Estimates,More developed regions,,901,1965-1970,8207,28117,25718,14627,6611,1895,134
17,Estimates,More developed regions,,901,1970-1975,8490,29421,25588,12323,5173,1365,95
18,Estimates,More developed regions,,901,1975-1980,7997,28471,26442,11662,3823,941,67
19,Estimates,More developed regions,,901,1980-1985,7288,26884,26980,13644,3973,727,44
20,Estimates,More developed regions,,901,1985-1990,6882,23789,26780,15586,5102,795,32
21,Estimates,More developed regions,,901,1990-1995,6879,19531,23063,15787,5683,953,32
22,Estimates,More developed regions,,901,1995-2000,5676,16157,20523,16419,6557,1139,45
23,Estimates,More developed regions,,901,2000-2005,4898,15069,19901,17424,7754,1435,68
24,Estimates,More developed regions,,901,2005-2010,4532,14783,20501,19070,9287,1806,99
25,Estimates,Less developed regions,,902,1950-1955,48158,104342,97808,71821,46839,21120,4769
26,Estimates,Less developed regions,,902,1955-1960,48029,110898,106363,78249,49106,21760,4912
27,Estimates,Less developed regions,,902,1960-1965,51634,121811,119413,90217,57019,23283,5020
28,Estimates,Less developed regions,,902,1965-1970,57873,133670,126688,95417,59196,24983,5268
29,Estimates,Less developed regions,,902,1970-1975,61777,152198,132672,90762,55759,23472,5355
30,Estimates,Less developed regions,,902,1975-1980,65786,163719,139428,83562,46406,19898,5010
31,Estimates,Less developed regions,,902,1980-1985,72722,187680,158314,83703,42335,17576,4581
32,Estimates,Less developed regions,,902,1985-1990,78099,215727,166586,91622,44712,16894,4441
33,Estimates,Less developed regions,,902,1990-1995,75133,202248,168744,90226,43841,16510,3911
34,Estimates,Less developed regions,,902,1995-2000,75487,189492,161351,90286,43742,16183,4050
35,Estimates,Less developed regions,,902,2000-2005,74419,192905,160260,93651,44683,15691,3983
36,Estimates,Less developed regions,,902,2005-2010,68663,204495,169818,95861,45689,15799,4180
37,Estimates,Least developed countries,,941,1950-1955,8725,13082,11422,8227,5030,2260,797
38,Estimates,Least developed countries,,941,1955-1960,9290,14342,12677,9305,5742,2566,871
39,Estimates,Least developed countries,,941,1960-1965,10081,15941,14038,10522,6621,2969,969
40,Estimates,Least developed countries,,941,1965-1970,11240,17906,15625,11757,7559,3430,1082
41,Estimates,Least developed countries,,941,1970-1975,12430,20110,17398,13123,8483,3894,1186
42,Estimates,Least developed countries,,941,1975-1980,13891,22603,19213,14456,9417,4331,1299
43,Estimates,Least developed countries,,941,1980-1985,15755,25543,21446,15733,10318,4701,1450
44,Estimates,Least developed countries,,941,1985-1990,17156,28160,23642,17078,10922,5079,1495
45,Estimates,Least developed countries,,941,1990-1995,18982,30965,26067,18632,11490,5183,1506
46,Estimates,Least developed countries,,941,1995-2000,20759,34269,28602,20223,12134,5258,1505
47,Estimates,Least developed countries,,941,2000-2005,22057,37668,30994,21369,12439,5204,1456
48,Estimates,Least developed countries,,941,2005-2010,22407,40116,34026,22980,12893,5042,1409
49,Estimates,"Less developed regions, excluding least developed countries",,934,1950-1955,39433,91260,86385,63594,41809,18860,3971
50,Estimates,"Less developed regions, excluding least developed countries",,934,1955-1960,38740,96557,93686,68944,43364,19194,4041
51,Estimates,"Less developed regions, excluding least developed countries",,934,1960-1965,41554,105870,105375,79695,50398,20314,4051
52,Estimates,"Less developed regions, excluding least developed countries",,934,1965-1970,46633,115764,111062,83660,51637,21553,4186
53,Estimates,"Less developed regions, excluding least developed countries",,934,1970-1975,49347,132088,115274,77639,47276,19578,4169
54,Estimates,"Less developed regions, excluding least developed countries",,934,1975-1980,51895,141117,120215,69107,36989,15567,3711
55,Estimates,"Less developed regions, excluding least developed countries",,934,1980-1985,56966,162137,136868,67971,32017,12876,3131
56,Estimates,"Less developed regions, excluding least developed countries",,934,1985-1990,60943,187567,142944,74544,33790,11815,2947
57,Estimates,"Less developed regions, excluding least developed countries",,934,1990-1995,56151,171283,142678,71593,32351,11327,2405
58,Estimates,"Less developed regions, excluding least developed countries",,934,1995-2000,54728,155223,132748,70063,31608,10925,2545
59,Estimates,"Less developed regions, excluding least developed countries",,934,2000-2005,52362,155237,129266,72282,32244,10487,2527
60,Estimates,"Less developed regions, excluding least developed countries",,934,2005-2010,46255,164378,135792,72881,32796,10757,2771
61,Estimates,"Less developed regions, excluding China",,948,1950-1955,36283,72553,68296,48580,29628,12966,3632
62,Estimates,"Less developed regions, excluding China",,948,1955-1960,38905,80250,77048,55257,33042,14258,4018
63,Estimates,"Less developed regions, excluding China",,948,1960-1965,42249,86745,83470,61509,37346,15680,4256
64,Estimates,"Less developed regions, excluding China",,948,1965-1970,48624,93386,88212,65841,40123,17088,4489
65,Estimates,"Less developed regions, excluding China",,948,1970-1975,55386,107189,92694,66893,40986,17556,4674
66,Estimates,"Less developed regions, excluding China",,948,1975-1980,62001,123494,102549,67204,40027,17184,4544
67,Estimates,"Less developed regions, excluding China",,948,1980-1985,67081,136713,114539,71753,39332,16525,4457
68,Estimates,"Less developed regions, excluding China",,948,1985-1990,70593,144718,121220,76273,40452,15967,4271
69,Estimates,"Less developed regions, excluding China",,948,1990-1995,73584,148798,123683,77885,41478,15715,3766
70,Estimates,"Less developed regions, excluding China",,948,1995-2000,73951,151903,126343,79257,41735,15639,3900
71,Estimates,"Less developed regions, excluding China",,948,2000-2005,72191,158440,131308,80927,41679,15190,3807
72,Estimates,"Less developed regions, excluding China",,948,2005-2010,66215,163410,140259,84524,42388,14844,3982
73,Estimates,Sub-Saharan Africa,,947,1950-1955,7137,11765,10054,7561,4817,2418,970
74,Estimates,Sub-Saharan Africa,,947,1955-1960,7892,12993,11162,8392,5389,2689,1045
75,Estimates,Sub-Saharan Africa,,947,1960-1965,8829,14527,12481,9450,6094,3042,1143
76,Estimates,Sub-Saharan Africa,,947,1965-1970,9861,16318,13953,10536,6878,3438,1255
77,Estimates,Sub-Saharan Africa,,947,1970-1975,11407,18731,15947,11928,7807,3926,1388
78,Estimates,Sub-Saharan Africa,,947,1975-1980,13162,21422,18202,13557,8835,4386,1543
79,Estimates,Sub-Saharan Africa,,947,1980-1985,14884,24220,20687,15412,10021,4863,1694
80,Estimates,Sub-Saharan Africa,,947,1985-1990,16683,27132,23262,17378,11192,5393,1758
81,Estimates,Sub-Saharan Africa,,947,1990-1995,18760,30322,25840,19158,12120,5694,1777
82,Estimates,Sub-Saharan Africa,,947,1995-2000,21019,34379,29205,21107,12977,5921,1806
83,Estimates,Sub-Saharan Africa,,947,2000-2005,23058,38704,33154,23484,13848,6074,1861
84,Estimates,Sub-Saharan Africa,,947,2005-2010,24352,42777,37711,26306,15036,6115,2034
85,Estimates,AFRICA,,903,1950-1955,8886,15480,13509,9951,6193,2963,1102
86,Estimates,AFRICA,,903,1955-1960,9769,17009,15073,11198,6980,3296,1189
87,Estimates,AFRICA,,903,1960-1965,10960,18770,16681,12618,7954,3745,1303
88,Estimates,AFRICA,,903,1965-1970,12356,20879,18220,13844,8938,4239,1437
89,Estimates,AFRICA,,903,1970-1975,14169,23847,20387,15214,9985,4799,1600
90,Estimates,AFRICA,,903,1975-1980,16088,27196,23348,17087,11050,5335,1759
91,Estimates,AFRICA,,903,1980-1985,17589,30467,26649,19513,12344,5787,1919
92,Estimates,AFRICA,,903,1985-1990,18905,33159,29553,21964,13741,6348,2023
93,Estimates,AFRICA,,903,1990-1995,21109,36007,31768,23661,14700,6644,1978
94,Estimates,AFRICA,,903,1995-2000,23283,40051,34962,25376,15426,6788,2016
95,Estimates,AFRICA,,903,2000-2005,25363,44672,39104,27716,16214,6923,2074
